attendance,cgpa,avg_current_grade,certificates,internships,department,year,gender,residence,school_type,extra_curricular,library_usage,project_involvement,activity_score,gpa_sem1,gpa_sem2,grade_trend,risk_level
99,7.68,4.09,5.07,4,IT,1st,F,Rural,Private,9,20,1,4.54,6.24,9.26,3.02,0
86,8.59,6.51,7.09,8,ME,1st,F,Rural,Private,0,12,1,7.54,8.04,7.98,-0.06,0
93,7.22,4.51,4.1,0,ME,4th,M,Urban,Private,0,8,1,2.05,8.73,9.32,0.59,1
93,9.69,4.57,1.0,0,CS,4th,F,Urban,Private,3,5,1,0.5,7.68,7.14,-0.54,1
79,6.47,5.6,7.89,10,CE,1st,M,Urban,Government,8,5,0,8.94,8.58,7.98,-0.6,0
87,7.38,7.78,6.85,8,CE,4th,F,Rural,Private,3,10,0,7.42,7.11,7.63,0.52,0
83,8.78,7.18,9.5,2,IT,3rd,M,Urban,Private,2,9,1,5.75,8.98,9.93,0.95,0
61,8.45,4.41,4.29,0,ME,2nd,F,Urban,Government,9,13,1,2.14,7.93,8.98,1.05,2
68,9.32,9.81,0.78,10,EE,4th,F,Rural,Government,7,5,0,5.39,5.98,7.98,2.0,1
86,9.98,9.32,1.22,0,IT,4th,F,Urban,Private,8,6,1,0.61,9.45,8.03,-1.42,1
93,7.13,5.56,7.73,10,CE,1st,M,Rural,Private,4,8,1,8.86,9.18,6.24,-2.94,0
98,5.56,4.73,0.68,6,CS,2nd,M,Rural,Private,1,2,1,3.34,9.82,8.67,-1.15,1
66,5.15,9.65,9.08,2,CE,3rd,F,Rural,Private,3,11,0,5.54,7.85,9.91,2.06,1
59,8.63,6.77,2.82,0,CE,3rd,F,Rural,Government,9,15,1,1.41,8.38,5.65,-2.73,1
98,9.37,5.87,8.99,8,CS,2nd,M,Rural,Private,7,12,0,8.5,9.32,8.19,-1.13,0
96,6.1,6.94,7.74,4,ME,3rd,M,Urban,Private,1,5,0,5.87,5.26,7.59,2.33,0
61,5.79,8.64,8.71,8,ME,2nd,F,Rural,Private,8,12,0,8.36,9.56,9.25,-0.31,1
65,5.31,5.01,2.14,2,CE,1st,F,Rural,Private,10,4,0,2.07,6.36,5.0,-1.36,2
73,9.11,8.6,5.96,6,IT,3rd,M,Rural,Government,4,3,0,5.98,5.29,5.68,0.39,0
68,6.56,8.5,0.94,6,EE,3rd,M,Rural,Private,6,7,0,3.47,6.19,5.19,-1.0,1
57,7.01,7.24,2.02,6,IT,2nd,M,Urban,Government,4,2,1,4.01,7.93,5.81,-2.12,0
80,7.51,9.2,3.1,10,BIO,3rd,F,Urban,Private,2,1,1,6.55,5.24,8.54,3.3,0
70,9.2,4.79,7.41,8,IT,4th,F,Urban,Private,1,19,0,7.7,5.0,5.7,0.7,1
66,8.25,7.57,0.25,4,CE,1st,M,Urban,Private,2,18,1,2.12,8.2,8.11,-0.09,1
72,8.08,6.7,9.03,4,CE,3rd,M,Rural,Government,1,6,1,6.52,7.27,9.34,2.07,0
86,5.88,6.53,0.71,10,EE,3rd,F,Rural,Government,1,11,1,5.36,9.22,5.17,-4.05,1
65,7.57,5.52,3.76,0,EE,3rd,F,Rural,Private,1,3,1,1.88,6.29,5.13,-1.16,2
55,8.58,6.23,0.81,10,EE,2nd,F,Urban,Government,10,9,1,5.4,6.4,9.95,3.55,1
57,9.87,4.65,7.69,4,CE,1st,F,Rural,Government,1,8,1,5.85,5.39,8.37,2.98,1
74,6.01,5.51,1.41,4,CE,1st,M,Urban,Private,7,11,1,2.7,7.69,5.7,-1.99,1
67,5.05,5.63,8.85,0,IT,3rd,F,Rural,Government,4,10,0,4.42,6.83,6.53,-0.3,2
74,5.38,8.32,5.3,8,CE,3rd,F,Rural,Government,8,20,1,6.65,6.7,9.93,3.23,1
61,6.88,4.29,9.48,8,BIO,2nd,F,Urban,Government,10,18,1,8.74,7.29,6.14,-1.15,1
64,9.1,7.91,2.9,2,ME,1st,M,Rural,Government,4,1,0,2.45,9.25,8.76,-0.49,0
75,5.04,5.33,4.54,8,ME,4th,M,Rural,Government,0,5,0,6.27,5.53,6.21,0.68,1
90,7.28,4.49,6.94,6,EE,3rd,M,Rural,Private,7,5,0,6.47,7.62,6.99,-0.63,0
94,6.65,5.8,8.32,6,CE,4th,F,Rural,Private,2,0,1,7.16,5.98,9.4,3.42,0
75,5.26,5.35,4.21,2,BIO,4th,F,Rural,Private,9,6,0,3.1,6.06,5.14,-0.92,1
96,7.25,7.31,8.92,4,ME,1st,F,Urban,Government,10,11,0,6.46,6.28,6.54,0.26,0
81,6.27,6.14,1.18,2,IT,4th,F,Rural,Private,9,20,0,1.59,7.3,7.44,0.14,0
59,6.76,9.8,7.09,0,CS,3rd,M,Rural,Government,1,22,0,3.54,7.47,8.13,0.66,1
65,8.53,9.78,3.48,2,IT,3rd,F,Urban,Private,5,11,1,2.74,9.36,5.14,-4.22,0
56,7.61,6.66,1.01,2,CS,2nd,M,Rural,Government,3,19,1,1.5,9.46,7.05,-2.41,1
66,5.62,8.77,3.87,10,BIO,1st,F,Rural,Government,3,20,1,6.94,7.93,6.72,-1.21,1
72,9.81,4.08,8.8,6,IT,1st,F,Rural,Government,8,22,0,7.4,6.41,5.13,-1.28,1
75,8.18,7.29,9.81,0,ME,4th,F,Rural,Private,9,5,1,4.9,9.09,6.78,-2.31,0
70,8.83,8.46,3.93,10,CE,3rd,F,Rural,Government,7,13,1,6.96,8.96,9.66,0.7,0
71,5.4,5.3,8.86,0,CS,3rd,F,Rural,Private,2,16,1,4.43,8.99,6.37,-2.62,2
56,5.24,4.37,5.1,2,CE,2nd,F,Urban,Government,8,16,1,3.55,5.08,7.93,2.85,2
63,5.1,4.94,7.17,10,BIO,4th,M,Urban,Government,0,17,1,8.59,8.77,6.49,-2.28,2
64,5.94,6.65,0.45,10,CE,3rd,M,Rural,Private,6,12,1,5.22,9.26,5.53,-3.73,1
56,7.07,7.04,5.57,0,ME,1st,M,Rural,Private,6,12,1,2.78,8.03,6.45,-1.58,1
58,9.68,6.29,0.7,0,BIO,2nd,M,Rural,Government,1,10,0,0.35,8.76,7.35,-1.41,1
97,7.29,6.64,2.69,8,EE,1st,M,Rural,Government,6,2,0,5.34,8.88,6.48,-2.4,0
57,6.45,6.82,5.67,0,EE,2nd,F,Rural,Government,6,16,1,2.84,7.53,8.12,0.59,1
99,7.81,8.62,8.07,10,CS,1st,F,Urban,Private,8,1,1,9.04,9.07,9.75,0.68,0
72,5.56,4.63,5.61,4,ME,4th,M,Rural,Government,5,1,0,4.8,8.96,5.35,-3.61,2
78,8.05,8.61,9.36,0,CE,3rd,F,Urban,Government,9,6,1,4.68,9.58,8.59,-0.99,0
67,7.84,8.13,8.1,6,IT,1st,F,Rural,Government,10,21,1,7.05,9.61,5.01,-4.6,0
80,8.96,8.45,1.56,8,IT,4th,F,Urban,Government,9,24,1,4.78,7.65,5.01,-2.64,0
79,9.93,8.41,3.89,6,BIO,1st,F,Urban,Private,8,9,0,4.94,5.16,5.66,0.5,0
88,6.25,6.82,6.68,6,CS,4th,M,Urban,Private,2,13,0,6.34,5.1,7.4,2.3,0
84,7.55,5.27,9.38,4,CS,2nd,F,Urban,Private,7,20,0,6.69,9.69,5.24,-4.45,0
67,9.54,7.22,9.88,8,CS,4th,M,Rural,Private,3,18,1,8.94,6.69,8.61,1.92,0
91,8.93,9.75,7.63,2,ME,1st,M,Rural,Government,10,16,0,4.81,6.89,5.15,-1.74,0
88,7.44,7.53,5.74,10,IT,3rd,F,Rural,Government,0,15,1,7.87,7.35,7.48,0.13,0
66,9.73,4.07,7.57,10,BIO,2nd,F,Rural,Private,6,16,0,8.78,6.33,8.38,2.05,1
63,5.29,4.36,2.73,0,ME,2nd,F,Rural,Government,2,17,0,1.36,7.95,6.19,-1.76,2
80,9.65,9.96,2.84,10,BIO,4th,M,Urban,Government,3,10,0,6.42,8.92,7.9,-1.02,0
73,5.25,4.43,6.54,4,ME,1st,F,Rural,Government,2,18,0,5.27,6.29,6.31,0.02,2
84,7.74,4.28,8.72,10,CE,4th,M,Urban,Private,5,10,0,9.36,8.72,6.07,-2.65,0
93,9.45,6.12,9.7,4,ME,2nd,F,Rural,Private,9,9,1,6.85,8.36,9.09,0.73,0
94,6.31,9.82,3.41,2,ME,3rd,M,Urban,Private,0,13,1,2.7,7.63,6.66,-0.97,0
83,7.36,5.91,7.97,4,CE,4th,M,Rural,Government,9,13,1,5.98,6.63,9.07,2.44,0
52,6.62,6.46,8.52,2,EE,1st,M,Urban,Government,6,9,1,5.26,9.36,6.08,-3.28,0
86,9.76,7.8,6.23,2,CE,4th,M,Urban,Government,9,20,1,4.12,7.01,6.78,-0.23,0
92,9.12,4.14,3.48,2,CS,4th,M,Rural,Private,7,22,0,2.74,6.87,5.51,-1.36,0
89,8.55,9.39,6.19,4,EE,4th,M,Urban,Private,2,3,0,5.1,8.21,7.48,-0.73,0
75,7.94,7.12,5.84,2,IT,3rd,M,Urban,Private,8,9,1,3.92,9.6,6.91,-2.69,0
72,9.1,6.8,6.07,4,BIO,1st,F,Rural,Private,1,5,1,5.04,7.54,5.03,-2.51,0
93,6.96,9.16,6.19,8,ME,1st,M,Urban,Government,9,21,1,7.1,8.61,7.32,-1.29,0
88,7.24,9.72,8.47,2,EE,2nd,F,Urban,Government,10,10,1,5.24,7.28,5.37,-1.91,0
64,8.65,6.54,1.7,4,IT,2nd,F,Rural,Private,9,17,0,2.85,6.09,9.18,3.09,1
98,6.79,5.03,3.67,4,CE,4th,F,Urban,Private,8,5,0,3.84,5.62,7.47,1.85,0
53,5.32,8.89,5.86,4,CE,2nd,M,Urban,Government,4,20,1,4.93,5.68,8.45,2.77,1
78,5.37,6.42,2.83,0,CS,1st,M,Urban,Government,5,14,1,1.42,5.11,9.11,4.0,1
71,5.58,9.61,9.78,0,CS,4th,F,Urban,Private,1,5,0,4.89,7.76,5.26,-2.5,2
74,9.35,9.7,2.63,2,EE,2nd,M,Rural,Private,4,19,0,2.32,5.66,6.69,1.03,0
62,7.36,4.69,4.7,10,BIO,3rd,M,Rural,Private,5,0,1,7.35,9.33,5.13,-4.2,1
67,8.56,9.74,8.77,8,ME,2nd,F,Rural,Government,4,8,0,8.38,9.91,5.25,-4.66,0
82,6.96,6.21,0.8,10,CE,3rd,F,Rural,Government,3,13,1,5.4,7.48,5.19,-2.29,0
65,6.29,7.88,8.21,2,EE,2nd,F,Rural,Government,7,2,0,5.11,7.25,7.39,0.14,0
94,6.74,4.21,5.71,6,EE,1st,F,Rural,Government,1,0,1,5.86,6.74,7.25,0.51,0
91,8.97,9.33,0.32,6,BIO,2nd,F,Urban,Government,0,13,0,3.16,8.19,5.31,-2.88,0
93,8.13,7.85,9.03,8,EE,3rd,F,Urban,Private,1,13,1,8.52,8.04,6.31,-1.73,0
51,9.69,7.86,0.39,8,CS,3rd,F,Urban,Private,10,3,0,4.2,6.72,6.22,-0.5,1
84,8.4,9.41,5.15,8,BIO,2nd,M,Rural,Private,3,13,1,6.58,6.72,6.48,-0.24,0
91,7.85,7.05,0.49,0,CE,4th,M,Rural,Private,0,22,0,0.24,8.22,8.2,-0.02,1
83,8.05,6.46,0.71,0,CS,3rd,M,Urban,Private,8,3,0,0.36,7.77,8.49,0.72,1
79,9.71,9.2,8.87,6,CS,1st,F,Urban,Government,0,10,1,7.44,8.59,6.7,-1.89,0
62,8.94,8.45,7.66,8,BIO,2nd,M,Rural,Private,4,19,1,7.83,9.71,8.94,-0.77,0
62,5.12,9.69,1.97,4,BIO,3rd,F,Urban,Private,7,8,1,2.98,8.9,7.09,-1.81,1
67,7.67,9.64,6.2,10,EE,2nd,F,Rural,Private,8,10,0,8.1,6.52,7.61,1.09,0
81,8.44,6.29,7.95,6,IT,2nd,F,Urban,Government,8,14,0,6.98,8.8,5.73,-3.07,0
81,8.74,6.68,8.9,8,IT,4th,M,Rural,Private,7,5,1,8.45,7.25,6.16,-1.09,0
84,6.07,5.54,4.68,4,IT,2nd,F,Urban,Government,5,24,1,4.34,8.89,8.64,-0.25,0
88,9.34,7.96,8.97,8,EE,2nd,F,Rural,Private,5,11,1,8.48,9.43,9.89,0.46,0
95,9.78,6.19,5.08,2,ME,2nd,F,Urban,Private,8,12,0,3.54,6.25,8.52,2.27,0
78,6.18,8.72,6.88,4,CE,1st,M,Rural,Government,1,17,1,5.44,6.19,5.27,-0.92,0
98,9.41,4.73,9.79,10,EE,2nd,M,Urban,Private,2,22,1,9.9,7.16,5.71,-1.45,0
78,5.48,4.7,2.36,2,EE,1st,F,Urban,Private,5,22,0,2.18,5.26,7.23,1.97,1
93,5.28,5.23,1.69,0,CS,2nd,F,Urban,Government,7,13,1,0.84,8.43,8.66,0.23,2
65,5.65,4.51,3.42,6,IT,4th,F,Rural,Private,6,23,0,4.71,8.75,5.83,-2.92,2
93,5.29,7.72,1.64,8,BIO,4th,M,Urban,Government,7,10,0,4.82,6.73,8.75,2.02,1
96,9.23,4.88,2.84,6,EE,3rd,F,Urban,Government,4,24,0,4.42,7.33,7.78,0.45,0
59,5.3,4.96,7.43,10,ME,2nd,F,Rural,Government,8,23,1,8.72,7.95,8.87,0.92,2
79,6.36,4.09,4.78,8,CE,4th,M,Urban,Government,5,1,0,6.39,5.37,7.79,2.42,0
74,5.52,8.69,3.75,2,ME,4th,M,Urban,Government,9,18,0,2.88,8.56,8.01,-0.55,1
88,6.48,8.87,3.69,4,EE,2nd,M,Urban,Private,1,1,1,3.84,7.63,6.24,-1.39,0
69,5.45,4.97,1.95,4,EE,3rd,M,Urban,Private,5,16,0,2.98,8.12,8.6,0.48,2
54,8.34,8.44,4.47,8,CS,1st,M,Urban,Private,10,22,0,6.24,8.62,9.22,0.6,0
50,5.67,6.6,6.25,2,ME,4th,M,Urban,Government,3,7,1,4.12,8.38,9.36,0.98,1
79,9.26,5.44,1.39,8,CS,4th,F,Urban,Private,4,4,0,4.7,5.48,5.15,-0.33,1
98,9.09,7.73,9.73,8,BIO,1st,M,Rural,Government,4,10,1,8.86,8.91,8.12,-0.79,0
52,5.07,5.07,4.43,8,ME,4th,M,Urban,Private,0,24,0,6.22,8.05,9.95,1.9,2
94,9.48,8.54,9.48,4,IT,1st,F,Rural,Government,9,19,0,6.74,8.57,7.93,-0.64,0
63,5.14,4.29,1.35,10,BIO,1st,F,Urban,Government,4,0,1,5.68,6.31,5.86,-0.45,2
79,6.2,9.75,7.67,8,IT,3rd,F,Rural,Private,9,19,0,7.84,6.11,9.39,3.28,0
99,5.16,4.43,6.18,4,ME,1st,M,Rural,Private,10,15,1,5.09,9.13,6.32,-2.81,1
53,6.68,7.48,8.2,0,CS,1st,M,Urban,Private,8,4,1,4.1,6.95,5.23,-1.72,1
67,7.57,9.41,6.01,2,IT,1st,M,Rural,Government,7,15,0,4.0,7.88,7.15,-0.73,0
86,8.98,4.07,9.63,0,EE,1st,M,Urban,Private,7,23,1,4.82,7.76,5.5,-2.26,1
74,6.69,6.99,6.27,8,CE,4th,M,Rural,Government,2,4,0,7.14,7.93,5.58,-2.35,0
97,8.53,6.1,7.85,4,CS,1st,F,Rural,Private,8,9,0,5.92,5.35,7.32,1.97,0
50,5.94,7.48,8.78,2,BIO,4th,F,Rural,Government,8,8,1,5.39,6.51,8.06,1.55,1
95,8.75,5.35,7.15,6,BIO,2nd,M,Rural,Government,9,21,0,6.58,5.33,9.53,4.2,0
64,6.18,4.39,5.24,2,ME,2nd,M,Urban,Private,6,23,0,3.62,7.4,8.53,1.13,1
58,5.72,7.76,2.73,2,BIO,1st,F,Urban,Private,5,18,0,2.37,9.51,9.21,-0.3,1
64,5.93,6.5,8.54,8,CE,3rd,M,Rural,Private,8,2,0,8.27,6.95,7.06,0.11,1
98,5.91,7.73,4.81,0,CE,3rd,F,Rural,Government,10,8,0,2.4,8.91,6.59,-2.32,1
73,7.56,5.26,6.21,0,EE,4th,F,Urban,Government,5,21,0,3.1,6.44,7.96,1.52,2
53,9.22,6.03,0.79,6,BIO,4th,F,Rural,Private,2,19,0,3.4,9.28,8.48,-0.8,1
61,5.4,7.37,4.97,8,CS,2nd,F,Rural,Private,5,7,1,6.48,7.1,7.84,0.74,1
86,8.53,7.56,6.98,2,CE,4th,F,Urban,Private,10,3,0,4.49,6.78,6.32,-0.46,0
86,8.27,6.23,5.84,10,CS,3rd,F,Rural,Government,1,10,1,7.92,8.49,6.85,-1.64,0
92,9.36,5.68,4.49,0,EE,2nd,F,Rural,Government,1,3,1,2.24,7.56,7.24,-0.32,1
55,6.22,5.64,2.23,0,ME,1st,F,Rural,Private,6,11,1,1.12,6.69,5.07,-1.62,2
88,7.25,5.05,3.1,4,CE,4th,M,Urban,Private,7,22,0,3.55,5.29,9.4,4.11,0
95,9.63,5.95,7.01,2,CE,1st,F,Rural,Government,6,6,1,4.5,5.83,7.56,1.73,0
73,8.3,5.2,2.24,8,CE,4th,F,Rural,Government,4,7,0,5.12,8.86,8.76,-0.1,1
60,6.94,7.8,6.22,0,BIO,3rd,F,Urban,Private,3,9,1,3.11,9.6,5.86,-3.74,1
62,5.66,7.41,5.9,8,CS,4th,F,Urban,Private,7,22,1,6.95,5.84,7.78,1.94,1
83,6.31,6.3,9.7,2,CE,3rd,F,Urban,Private,8,23,0,5.85,7.85,9.63,1.78,0
74,7.91,5.95,0.61,2,CS,3rd,M,Urban,Government,6,12,1,1.3,5.17,6.07,0.9,1
56,8.59,5.43,1.08,0,BIO,1st,F,Urban,Private,0,23,1,0.54,6.45,6.73,0.28,2
53,5.62,7.21,5.06,6,IT,4th,M,Rural,Government,3,13,0,5.53,7.24,6.94,-0.3,1
57,8.0,9.51,5.27,8,IT,1st,F,Rural,Private,3,15,0,6.64,8.68,6.92,-1.76,0
69,7.75,8.11,0.4,8,CS,3rd,F,Rural,Private,9,6,0,4.2,5.22,8.0,2.78,1
78,7.57,8.47,8.26,4,BIO,3rd,M,Rural,Private,2,15,0,6.13,8.91,6.97,-1.94,0
94,8.45,9.01,4.95,2,IT,3rd,M,Rural,Private,3,16,1,3.48,6.01,8.37,2.36,0
95,9.19,6.11,3.47,2,EE,3rd,F,Urban,Private,8,19,0,2.74,8.8,7.42,-1.38,0
59,6.61,4.38,3.19,0,EE,2nd,F,Urban,Private,0,18,0,1.6,8.13,5.79,-2.34,2
92,9.45,7.74,8.61,0,IT,3rd,M,Urban,Government,1,11,1,4.3,6.7,9.74,3.04,0
83,5.8,5.13,1.97,0,ME,4th,M,Urban,Government,6,8,1,0.98,8.62,6.2,-2.42,2
75,5.87,7.41,1.6,4,CS,3rd,F,Rural,Private,8,7,1,2.8,6.18,7.81,1.63,1
90,6.33,8.44,2.13,6,IT,2nd,M,Urban,Government,6,8,0,4.06,6.1,5.3,-0.8,0
98,5.6,8.7,6.25,0,CS,4th,M,Rural,Government,0,4,0,3.12,5.31,9.59,4.28,1
52,6.15,5.81,8.11,0,BIO,2nd,M,Rural,Government,6,20,1,4.06,6.97,9.64,2.67,2
55,5.53,7.07,3.31,10,IT,2nd,M,Urban,Government,5,9,1,6.66,5.49,6.82,1.33,1
54,9.11,7.73,1.73,0,EE,4th,M,Rural,Private,0,4,0,0.86,7.1,5.6,-1.5,1
54,5.69,8.92,2.09,4,BIO,2nd,F,Urban,Private,0,13,0,3.04,5.05,8.85,3.8,1
96,8.74,8.57,6.19,8,ME,3rd,F,Urban,Private,1,17,0,7.1,5.78,6.31,0.53,0
72,5.24,9.93,2.46,6,CS,1st,F,Urban,Private,5,6,1,4.23,9.66,8.5,-1.16,1
98,9.74,4.05,8.77,8,ME,1st,F,Urban,Private,3,7,1,8.38,8.98,9.58,0.6,0
58,8.56,6.62,1.04,10,EE,1st,F,Urban,Government,3,4,1,5.52,6.18,7.95,1.77,1
84,5.03,5.54,0.32,2,CE,4th,F,Rural,Government,5,23,0,1.16,8.59,9.31,0.72,1
69,8.82,4.72,0.88,2,CE,4th,M,Rural,Private,8,5,0,1.44,8.34,6.12,-2.22,1
98,7.57,9.47,8.46,0,CS,4th,M,Rural,Private,0,19,1,4.23,5.88,9.55,3.67,0
91,8.9,9.99,6.51,10,BIO,1st,M,Urban,Private,1,22,1,8.25,6.86,6.13,-0.73,0
84,7.61,5.08,9.58,8,EE,1st,F,Rural,Private,7,23,0,8.79,9.57,6.13,-3.44,0
99,8.21,4.23,3.36,4,CS,4th,M,Rural,Government,7,8,1,3.68,8.69,9.4,0.71,0
67,8.93,5.65,2.13,6,BIO,1st,M,Rural,Government,10,20,0,4.06,8.8,7.77,-1.03,1
66,7.03,9.01,5.62,8,CS,2nd,M,Urban,Government,10,8,0,6.81,7.82,9.0,1.18,0
73,5.01,5.76,5.38,10,CS,2nd,M,Urban,Government,5,7,0,7.69,8.33,9.01,0.68,2
52,9.25,4.34,5.91,10,ME,1st,M,Rural,Private,5,16,0,7.96,7.54,8.23,0.69,1
81,6.9,4.31,3.48,8,IT,4th,F,Rural,Private,7,23,1,5.74,8.7,5.95,-2.75,0
84,7.48,6.56,0.06,6,EE,3rd,F,Rural,Private,1,7,0,3.03,8.66,8.46,-0.2,0
87,5.04,9.59,0.35,8,ME,3rd,M,Rural,Government,1,22,1,4.18,5.16,5.32,0.16,1
62,7.46,5.72,6.64,8,BIO,1st,M,Urban,Private,0,0,1,7.32,8.16,6.0,-2.16,1
96,9.93,6.56,5.23,6,IT,3rd,F,Rural,Private,5,21,0,5.62,8.15,8.21,0.06,0
74,6.39,4.61,8.21,4,CS,4th,F,Rural,Private,5,17,1,6.1,5.34,9.54,4.2,1
58,6.98,6.96,3.0,10,CE,2nd,M,Rural,Government,5,14,1,6.5,7.05,8.86,1.81,0
53,8.44,8.18,8.15,6,ME,2nd,M,Urban,Private,10,21,1,7.08,9.49,6.66,-2.83,0
63,9.07,5.63,4.25,0,EE,4th,F,Urban,Government,1,15,1,2.12,9.77,9.12,-0.65,2
86,7.09,5.78,0.97,0,EE,3rd,F,Rural,Government,6,1,1,0.48,8.91,9.83,0.92,1
83,6.55,9.05,9.78,0,IT,1st,M,Urban,Government,2,12,0,4.89,5.76,6.66,0.9,0
60,9.69,4.06,5.12,0,ME,2nd,M,Urban,Private,0,1,1,2.56,6.87,5.93,-0.94,2
90,8.39,7.82,6.29,2,CS,3rd,F,Urban,Private,0,13,0,4.14,5.91,5.99,0.08,0
52,5.6,6.36,6.71,4,IT,3rd,M,Rural,Private,8,6,1,5.36,8.26,7.0,-1.26,1
77,5.34,5.79,3.62,2,BIO,2nd,F,Urban,Government,2,10,0,2.81,8.87,5.26,-3.61,1
78,7.42,7.95,7.48,8,EE,2nd,M,Rural,Government,7,14,1,7.74,9.42,7.44,-1.98,0
58,6.1,9.01,8.7,8,BIO,1st,M,Urban,Private,9,16,1,8.35,9.3,8.66,-0.64,0
52,6.27,7.35,3.87,6,ME,4th,F,Urban,Government,6,20,1,4.94,5.5,7.65,2.15,0
74,9.39,4.19,6.57,0,CE,3rd,M,Rural,Government,1,16,0,3.28,5.63,9.85,4.22,2
83,5.45,6.77,7.57,6,BIO,1st,M,Rural,Private,1,14,0,6.78,9.55,7.31,-2.24,0
61,8.58,6.78,1.9,8,CS,2nd,F,Urban,Private,3,15,1,4.95,9.22,5.07,-4.15,1
91,6.36,7.26,3.33,0,EE,4th,F,Urban,Government,1,8,0,1.66,7.3,7.35,0.05,0
58,8.8,8.03,1.09,10,ME,4th,F,Rural,Private,4,20,0,5.54,7.15,9.65,2.5,1
64,8.61,4.12,6.02,4,CE,3rd,M,Urban,Private,9,20,1,5.01,7.76,5.48,-2.28,1
89,5.04,7.01,8.01,8,EE,4th,F,Rural,Government,6,19,0,8.0,7.98,6.11,-1.87,0
74,7.55,7.53,6.11,10,CE,2nd,F,Rural,Government,1,18,1,8.06,6.27,8.58,2.31,0
54,5.7,6.06,1.8,6,EE,2nd,F,Rural,Government,8,23,0,3.9,7.02,6.47,-0.55,1
60,9.33,8.01,5.46,10,IT,2nd,F,Urban,Private,0,22,0,7.73,8.1,8.83,0.73,0
83,9.36,5.37,8.35,6,IT,1st,M,Urban,Private,1,8,0,7.18,6.03,7.1,1.07,0
73,7.09,5.9,3.03,8,IT,2nd,F,Rural,Government,6,5,0,5.52,9.99,8.98,-1.01,1
64,7.22,9.78,8.33,2,ME,1st,M,Urban,Government,4,0,1,5.16,6.41,7.76,1.35,0
87,6.52,6.09,7.85,4,IT,2nd,M,Rural,Private,0,4,0,5.92,7.76,5.41,-2.35,0
57,8.58,6.08,0.22,10,ME,2nd,F,Urban,Government,3,4,0,5.11,7.77,6.93,-0.84,1
54,6.79,7.57,2.39,10,CS,4th,F,Urban,Private,7,22,1,6.2,7.26,6.67,-0.59,0
97,6.34,9.83,5.43,8,IT,3rd,F,Urban,Government,4,0,1,6.72,6.21,9.05,2.84,0
75,7.16,9.9,7.18,8,ME,2nd,M,Urban,Private,1,0,1,7.59,7.83,8.12,0.29,0
67,5.46,7.48,8.81,6,EE,4th,F,Rural,Private,8,21,1,7.4,5.46,8.89,3.43,1
55,8.73,4.01,6.41,0,ME,4th,F,Urban,Private,0,5,0,3.2,6.93,6.86,-0.07,2
86,5.06,9.4,3.8,0,BIO,3rd,F,Rural,Private,0,8,0,1.9,6.12,8.46,2.34,1
97,8.22,7.42,1.85,0,ME,4th,M,Urban,Government,9,18,0,0.92,5.62,5.33,-0.29,1
62,5.91,6.2,7.6,6,BIO,4th,F,Rural,Government,4,4,1,6.8,9.63,5.18,-4.45,1
77,6.16,8.98,2.07,0,EE,3rd,M,Urban,Private,8,20,1,1.03,8.5,6.44,-2.06,0
54,8.18,6.4,6.95,8,ME,1st,M,Rural,Private,5,16,0,7.48,5.84,8.87,3.03,0
62,9.96,4.2,1.81,2,EE,3rd,M,Urban,Private,4,21,1,1.9,9.75,7.67,-2.08,1
66,8.89,8.93,0.91,2,BIO,3rd,F,Rural,Government,5,19,1,1.46,6.08,7.04,0.96,1
99,6.13,7.28,2.51,2,CE,2nd,F,Urban,Government,5,11,0,2.26,6.18,9.48,3.3,0
89,5.88,6.03,2.85,0,IT,2nd,M,Urban,Government,8,5,0,1.42,5.67,7.49,1.82,1
94,9.33,5.51,6.47,2,BIO,1st,F,Urban,Government,8,12,1,4.23,8.64,8.07,-0.57,0
81,7.22,7.56,1.61,10,CS,3rd,M,Rural,Private,4,23,1,5.8,7.85,9.93,2.08,0
78,5.69,5.25,9.3,0,ME,3rd,F,Rural,Government,3,7,0,4.65,5.29,7.61,2.32,2
52,9.31,5.94,5.54,10,EE,1st,F,Urban,Private,0,2,0,7.77,5.13,8.92,3.79,1
89,9.08,7.82,4.91,8,IT,2nd,F,Rural,Government,5,24,1,6.46,7.66,7.07,-0.59,0
83,9.92,9.29,4.35,10,ME,3rd,M,Urban,Government,6,10,0,7.18,8.26,5.18,-3.08,0
89,9.55,7.2,5.67,8,IT,1st,F,Urban,Government,6,19,0,6.84,9.11,9.17,0.06,0
76,9.26,8.55,0.22,6,CE,2nd,M,Urban,Government,0,0,1,3.11,7.39,9.72,2.33,0
62,5.26,8.58,9.9,6,ME,4th,F,Rural,Government,5,24,1,7.95,8.38,7.17,-1.21,1
94,5.52,7.99,5.58,10,EE,1st,F,Rural,Private,7,13,1,7.79,8.67,7.52,-1.15,0
82,7.84,5.48,0.35,4,CE,1st,F,Urban,Private,2,20,0,2.17,8.07,7.12,-0.95,1
55,7.66,9.2,5.9,8,ME,3rd,F,Rural,Private,0,23,1,6.95,6.76,9.98,3.22,0
73,7.29,6.62,4.37,0,IT,4th,M,Rural,Government,6,12,1,2.18,5.66,9.52,3.86,1
68,6.98,4.27,0.24,4,CE,2nd,M,Urban,Government,3,14,1,2.12,8.24,5.21,-3.03,1
65,7.16,5.47,9.24,8,EE,4th,F,Urban,Private,4,22,1,8.62,8.84,8.9,0.06,1
